,channel_name,subscribers,views,videos,channel_title,channel_id
86,Data Analyst Empire,5,168,15,Data Analyst Empire,UC9_GZ8jKR8hCorVJGMt0A2A
87,Data Analyst,0,58,1,Data Analyst,UCr-eE8o5TjGm7I1gA8N4NIg
88,Data Analyst,0,58,1,Data Analyst,UCVHAYGXptVYD_1hXgdmohvQ
89,Data Analyst,0,58,1,Data Analyst,UCqRNhukhtRzqAKLi4PU7noQ
90,Data Analyst,0,58,1,Data Analyst,UCYxXdWRktQmnpoW9M6LS8GA
91,Data Analyst,0,58,1,Data Analyst,UCewpdIWOiedpGfcyHxvNbtw
92,Data Analyst,0,58,1,Data Analyst,UC2wo1S0CQ3iynnGNDcXaKWw
93,Data Analyst,0,58,1,Data Analyst,UCvWOJZj0O9KenBbNF_RADNQ
94,Data Analyst,0,58,1,Data Analyst,UChIVKSEWCp_57XK4jKGhJiQ
95,Data Analyst,0,58,1,Data Analyst,UCJqK3bPFJr5WVPKvtuZjSdA
96,Data Analyst,0,58,1,Data Analyst,UCSwTlL3FHopn77IwFSEyGzA
97,Data Analyst,0,58,1,Data Analyst,UCjumkEO3LS8qlRZ331DR5HQ
98,Data Analyst,0,58,1,Data Analyst,UCmgMd8uJJF7yW28U1OEzTmg
99,FORMASYS,23600,1330258,147,FORMASYS,UCiDy_8ig36GuMQ1FCYIv_6w
100,1Bfreeedu,737,24493,96,1Bfreeedu,UCasRCDBhvaYQeb_W11G7U6w
101,Artefact,557,104229,231,Artefact,UCkTs8Ci3jJJJNNhLpTK7kHg
102,Michele Moneywell,11,0,0,Michele Moneywell,UCuTd65SswZXvTcLkp094diQ
103,DataGarage,59,688,15,DataGarage,UCwAsnLbyt87_TeGAKOkbm2w
104,Khan Academy,7380000,1986565559,8318,Khan Academy,UC4a-Gbdw7vOaccHmFo40b9g
105,IIT Madras - BSc Degree Programme,84100,13780379,3134,IIT Madras - BSc Degree Programme,UCvKzzGO37oT83K0FwnUucxw
106,M. A.,8,492,2,M. A.,UCSEDSajvNn0iRSOBCVsJxKg
107,surender971,2,0,0,surender971,UCati29Vkq1c32VMYnPmImjA
108,The Data Monk,3390,156626,194,The Data Monk,UCGc-2PbLX8ZSby2GajcO0uw
109,satish thota,0,0,0,satish thota,UCJO3xt7Gt9hj2LN608gWo7Q
110,Thao Do,10,6350,44,Thao Do,UCydE4TnsS9Vip4fq5wljUiQ
111,Fireblaze AI School,502,10040,25,Fireblaze AI School,UCNkAGVBOPD2427gKGgsPcfw
112,Durga Software Solutions,720000,149063449,24218,Durga Software Solutions,UCbjozK_PYCTLEluFlrJ8UZg
113,Mooc Cyu,30,2336,144,Mooc Cyu,UC9P2sNje-yXU21VM26RJvNA
114,KarachiDotAI,700,7238,163,KarachiDotAI,UCizkHmG3886c5tAtsi4Ip9Q
115,Preeti Sondhi,2240,49919,52,Preeti Sondhi,UCE5MkQ1WJirFaNAKe01ncQQ
116,Raj 96,1,0,0,Raj 96,UCn6dBXoHi757V9kl9wIvq6A
117,Chandoo,283000,20671758,378,Chandoo,UC8uU_wruBMHeeRma49dtZKA
118,Stephen Wieschhaus,1,0,0,Stephen Wieschhaus,UCkIrZ_fWD5XEDfYQnCOKX_g
119,osama elzorkany,0,5,1,osama elzorkany,UCT7TGUX4mC2jtP1SNe3mJsA
120,Rene Reynaldo,1,0,0,Rene Reynaldo,UCrQSsRysnCkRgCmQdQWd-tA
121,Machine Learnia,96700,5166967,74,Machine Learnia,UCmpptkXu8iIFe6kfDK5o7VQ
122,Antonio Castaneda,11,0,0,Antonio Castaneda,UCwqXCee_nt1Ij5rjQKKgD9w
123,Vikas Jha,0,0,0,Vikas Jha,UCAU_OnGDBmXqCYVfF4ZMfSQ
124,Matt Brattin,5530,159471,45,Matt Brattin,UC6peudLHxLH3F1lPsiSOy-w
125,Maria Paula Kugler,0,0,0,Maria Paula Kugler,UCZpbhmHY_b54FXd_Oiwx1dg
126,J.A DATATECH CONSULTING,2950,184827,350,J.A DATATECH CONSULTING,UCpd56FfjlkKbkHlbgY6XE3w
127,Profis tem,0,11,1,Profis tem,UCwfayuXKjKgj_gHvc1A0XOQ
128,Emanuel Flores,10,0,0,Emanuel Flores,UCxu5MXxu5OyeXUNdmno5R_A
129,Yaya Koita,0,15,1,Yaya Koita,UCjETmlTR2WT3_cw7EjqTVKQ
130,seemant ranjan,0,0,0,seemant ranjan,UCUzTPnzNGBxIF6BYs4MYDjw
131,Mohammed Tayseer,7,286,5,Mohammed Tayseer,UC-fdXuwF6P93DwErx3phNSA
132,Parrisite,118,20839,429,Parrisite,UCxMpywrRcd5ZI9YKpx-aQcQ
133,Ann Mackend,1,0,0,Ann Mackend,UCAo_K8DMq-QZc8al7UQi5PQ
134,Immi Tai,1,111,4,Immi Tai,UCB1xhG4hPZ9ssHrGJep-Uwg
135,Data Science TV,45,934,22,Data Science TV,UC0FfG3bn67bLRBsld6IjXRg
136,Data Science TV,45,934,22,Data Science TV,UCaIVkwxOJWzduge0zIp0viQ
137,Ashish Kumar Jha,0,0,0,Ashish Kumar Jha,UChrB44bqZnQ27QJWiJqSemQ
138,abhay maurya,1,0,0,abhay maurya,UCecnlaUFIVEZXLotbkeViyg
139,Diogo G.,1,0,0,Diogo G.,UCJyBTauAYJojKiESz8GYt-w
140,jcl322,0,28,2,jcl322,UCazYhOY66OWOP516MKmsWDA
141,Yuri Da Silva,5,5756,5,Yuri Da Silva,UC_IAKNdjRkPDM8gWou0oX0w
142,Wayne Cheong,3,129,2,Wayne Cheong,UCcHR_I9ZBHtptZWY50hZItA
