,channel_name,subscribers,views,videos,published_date,channel_title,channel_id
138,Tirendaz Akademi,16500,1697069,457,2018-09-17T14:13:37Z,Tirendaz Akademi,UCzH73XJRgK2EQ7COnG8DkyA
140,Hans Schenker,1440,32372,45,2009-02-07T13:29:49Z,Hans Schenker,UCYlW9EuQnlNRtEYqVtpfbDw
142,Bill Franks,100,4326,29,2012-04-11T13:58:24Z,Bill Franks,UCaos6n35_9v_Psw9lBqSRqQ
144,Data Science Festival,3550,146660,293,2016-07-10T20:01:03Z,Data Science Festival,UCB02fDSj9GR4rhb1APMNclw
146,MIT OpenCourseWare,4060000,356057358,6809,2005-10-11T09:36:14Z,MIT OpenCourseWare,UCEBb1b_L6zDS3xTUrIALZOw
148,TIBCO Products,5790,2190428,772,2014-04-11T02:21:38Z,TIBCO Products,UC_PJ8s4qxrPZNHP0m_O80vw
150,Prabhakaran s,37,0,0,2009-10-06T16:43:50Z,Prabhakaran s,UC1ngG3UMdIYPdqyzaQJIwHg
152,Better Data Science,3870,178826,67,2020-06-22T13:38:17.680401Z,Better Data Science,UCzwWYDA9IuJ7iFrvbZsvRwQ
154,ARTE,2550000,215138016,1672,2010-11-18T12:54:57Z,ARTE,UCwI-JbGNsojunnHbFAc0M4Q
156,Simplilearn,2340000,239989741,4457,2009-10-29T07:21:23Z,Simplilearn,UCsvqVGtbbyHaMoevxPAq9Fg
158,Greg Hogg,31500,1003098,345,2011-11-24T17:32:46Z,Greg Hogg,UCJublDh2UsiIKsAE1553miw
160,edureka!,3500000,334227046,7272,2012-06-29T06:12:26Z,edureka!,UCkw4JCwteGrDHIsyIIKo4tQ
162,Data Science,3690,60984,161,2018-08-31T00:13:30Z,Data Science,UCHxRt1sueuXyJP3bvOayMqg
163,Data Science,3690,60984,161,2018-08-31T00:13:30Z,Data Science,UCMrS1v0jxtItBVU1jCnilwA
164,Data Science,3690,60984,161,2018-08-31T00:13:30Z,Data Science,UCYxBKzSYTal4BJaEZKKYwEQ
165,Data Science,3690,60984,161,2018-08-31T00:13:30Z,Data Science,UCpP2EVfi3O2eZgGGgpTegtA
166,Data Science,3690,60984,161,2018-08-31T00:13:30Z,Data Science,UCoEfiAnpSCy6lmJpM_Jkb0w
172,Zeeshan Usmani,459000,32392139,639,2011-10-08T18:28:09Z,Zeeshan Usmani,UCllefjGak7WtAV3sVcRy9xQ
174,GeoDa Software,9700,647183,200,2011-03-29T22:26:50Z,GeoDa Software,UCzvhOfSmJpRsFRF2Pgrv-Wg
176,Neo4j,37200,31217853,1501,2014-12-03T23:18:57Z,Neo4j,UCvze3hU6OZBkB1vkhH2lH9Q
178,Nguyen Ha DS,55,1780,14,2012-10-24T10:03:03Z,Nguyen Ha DS,UCeN2R85l5v4ZkySBc2uTKyg
180,Medallion Data Science,7960,156957,32,2021-09-26T18:25:56.754723Z,Medallion Data Science,UCxladMszXan-jfgzyeIMyvw
182,Jheronimus Academy of Data Science,257,251503,135,2016-08-01T14:24:47Z,Jheronimus Academy of Data Science,UCvH-6IAoygZhNezwy2o96vA
184,Everyday Data Science,3240,110155,150,2021-02-10T06:19:44.698544Z,Everyday Data Science,UColtS35pWaswSV634-n-H3A
186,STUDY MART,27000,1180858,395,2019-08-20T13:59:51Z,STUDY MART,UCH6wiF1uC7PhuV_UIR_28AA
188,Data Science Academy,28500,771424,116,2016-02-27T01:28:05Z,Data Science Academy,UCyoi9yYaQRQ2F34wDLosr2A
189,Data Science Academy,28500,771424,116,2016-02-27T01:28:05Z,Data Science Academy,UC1oYhdMunv5IxdPGEBoVPGw
192,DATA SCIENCE LOVERS,11300,471807,67,2020-04-14T12:21:07.960238Z,DATA SCIENCE LOVERS,UCwk47V1XafOrw83d_vwwGhg
194,Data Science Simplified,914,9387,40,2018-07-01T23:42:53Z,Data Science Simplified,UCNMawpMow-lW5d2svGhOEbw
196,Stanford,1710000,250133904,3992,2006-09-19T04:37:21Z,Stanford,UC-EnprmCZ3OXyAoG7vjVNCA
198,DataScience RoadMap,4770,25145,50,2021-07-14T21:19:27.069208Z,DataScience RoadMap,UCAEgip72UcvYwjcqzcJ1I2g
200,Datascience Concepts,2670,93978,347,2018-02-05T14:20:24Z,Datascience Concepts,UCtjldWnIlGpeTuqcniM9jSQ
202,Chai Time Data Science,7910,167901,163,2019-10-27T10:05:10.447849Z,Chai Time Data Science,UCRjtBP-o5FbgRzX2BHQEFtQ
204,ARTEde,1570000,298631754,1581,2007-05-03T11:28:57Z,ARTEde,UCLLibJTCy3sXjHLVaDimnpQ
206,UWaterloo Data Science,465,10844,63,2016-07-21T17:16:16Z,UWaterloo Data Science,UCknY88pglf2xz_S72WHIDxg
208,Project Data Science,2570,132461,14,2020-05-08T01:42:26.782411Z,Project Data Science,UCM7_uh02Xqv4PFKbyIasP4g
210,Hertie School Data Science Lab,1530,29667,33,2020-11-17T08:59:33.042873Z,Hertie School Data Science Lab,UCfqX9h4wkDzXQIdfcrpLBMQ
212,BGUonline,38,780,16,2021-06-27T09:19:26.530123Z,BGUonline,UCYFtXv4sVvXV55IX01sKKJQ
214,yuzaR Data Science,2100,65832,40,2013-07-02T21:20:15Z,yuzaR Data Science,UCcGXGFClRdnrwXsPHi7P4ZA
216,Sundas Khalid,81900,2857316,58,2014-04-19T02:27:06Z,Sundas Khalid,UCteRPiisgIoHtMgqHegpWAQ
